Start,Finish,Active Calories (kcal),Blood Pressure (Diastolic) (mmHg),Blood Pressure (Systolic) (mmHg),Distance (mi),Heart Rate (count/min),Steps
14-Apr-2019 00:00,15-Apr-2019 00:00,343.723,0.0,0.0,1.90078943109306,113.0,4028.0
15-Apr-2019 00:00,16-Apr-2019 00:00,459.783,0.0,0.0,1.96790772349116,104.0,4029.0
16-Apr-2019 00:00,17-Apr-2019 00:00,527.9,0.0,0.0,1.75718751290237,108.0,3582.0
17-Apr-2019 00:00,18-Apr-2019 00:00,656.132,0.0,0.0,3.09902174696856,108.0,6313.0
18-Apr-2019 00:00,19-Apr-2019 00:00,599.968,0.0,0.0,2.0554757109608,113.0,4263.0
19-Apr-2019 00:00,20-Apr-2019 00:00,434.484,0.0,0.0,2.3803140299801,122.0,4847.0
20-Apr-2019 00:00,21-Apr-2019 00:00,684.642160390732,0.0,0.0,3.67777323760817,129.0,7613.0
21-Apr-2019 00:00,22-Apr-2019 00:00,713.705839609268,0.0,0.0,4.04513229523822,127.0,8324.0
22-Apr-2019 00:00,23-Apr-2019 00:00,458.468,0.0,0.0,2.49095722175829,117.0,5125.0
23-Apr-2019 00:00,24-Apr-2019 00:00,420.289,0.0,0.0,1.3905995323341,115.0,2931.0
24-Apr-2019 00:00,25-Apr-2019 00:00,593.569,0.0,0.0,2.43778161372946,122.0,5035.0
25-Apr-2019 00:00,26-Apr-2019 00:00,484.729,0.0,0.0,1.84037297047911,130.0,3797.0
26-Apr-2019 00:00,27-Apr-2019 00:00,532.273,0.0,0.0,2.49397654846182,140.0,5267.0
27-Apr-2019 00:00,28-Apr-2019 00:00,907.911490048462,0.0,0.0,6.14998675918667,137.0,12541.0
28-Apr-2019 00:00,29-Apr-2019 00:00,355.473509951538,0.0,0.0,0.91750344372285,189.0,1939.0
29-Apr-2019 00:00,30-Apr-2019 00:00,626.282999999999,0.0,0.0,4.4804087058006,118.0,9210.0
30-Apr-2019 00:00,01-May-2019 00:00,600.636118267324,0.0,0.0,2.08877769921953,117.0,4317.0
01-May-2019 00:00,02-May-2019 00:00,79.9578817326757,0.0,0.0,0.123028205423633,116.363639831543,232.0
02-May-2019 00:00,03-May-2019 00:00,576.725999999999,0.0,0.0,2.48935867861948,145.0,5009.0
03-May-2019 00:00,04-May-2019 00:00,436.571,0.0,0.0,2.06775375564924,121.0,4168.0
04-May-2019 00:00,05-May-2019 00:00,791.076249549332,0.0,0.0,5.55796588327483,127.0,11656.0368730451
05-May-2019 00:00,06-May-2019 00:00,147.031750450668,0.0,0.0,1.34305055179957,126.0,2845.96312695488
06-May-2019 00:00,07-May-2019 00:00,413.978000000001,0.0,0.0,1.73735815240286,119.0,3560.52903759461
07-May-2019 00:00,08-May-2019 00:00,531.265,0.0,0.0,2.36947039799926,104.0,4734.0
08-May-2019 00:00,09-May-2019 00:00,457.961,0.0,0.0,2.15666514831864,126.0,4399.0
09-May-2019 00:00,10-May-2019 00:00,445.083,0.0,0.0,1.84170562512034,115.0,3726.0
10-May-2019 00:00,11-May-2019 00:00,937.226518819447,0.0,0.0,5.93618960368261,155.0,12050.1556900051
11-May-2019 00:00,12-May-2019 00:00,120.229481180553,0.0,0.0,1.26729065044544,117.0,2803.84430999491
12-May-2019 00:00,13-May-2019 00:00,318.502,0.0,0.0,1.33811968530857,133.0,2740.0
13-May-2019 00:00,14-May-2019 00:00,498.871,0.0,0.0,2.06414759337535,118.0,4187.0
14-May-2019 00:00,15-May-2019 00:00,445.769000000001,0.0,0.0,2.17666947290073,111.0,4360.0
15-May-2019 00:00,16-May-2019 00:00,484.002,0.0,0.0,2.12991206721843,126.0,4275.0
16-May-2019 00:00,17-May-2019 00:00,610.439,0.0,0.0,2.76727388695897,117.0,5502.0
17-May-2019 00:00,18-May-2019 00:00,779.274913301253,0.0,0.0,5.0420262704266,134.0,10330.0
18-May-2019 00:00,19-May-2019 00:00,636.052849235148,0.0,0.0,3.11969255518399,148.0,6330.0
19-May-2019 00:00,20-May-2019 00:00,76.2031396544468,0.0,0.0,0.5938432910422,0.0,1494.0
20-May-2019 00:00,21-May-2019 00:00,76.2031396544468,0.0,0.0,0.841880846011801,0.0,1775.0
21-May-2019 00:00,22-May-2019 00:00,334.551958154708,0.0,0.0,1.57999397730889,110.0,3214.0
22-May-2019 00:00,23-May-2019 00:00,364.933000000001,0.0,0.0,1.41202426317551,108.0,2792.0
23-May-2019 00:00,24-May-2019 00:00,493.102,0.0,0.0,2.69952660340487,124.0,5403.0
24-May-2019 00:00,25-May-2019 00:00,608.881589994057,0.0,0.0,2.75010329615741,111.0,5507.0
25-May-2019 00:00,26-May-2019 00:00,365.134410005943,0.0,0.0,2.43142127509815,126.0,5019.0
26-May-2019 00:00,27-May-2019 00:00,666.435000000001,0.0,0.0,4.69478367998493,130.0,9345.0
27-May-2019 00:00,28-May-2019 00:00,410.54,0.0,0.0,1.95085429556152,113.0,3899.0
28-May-2019 00:00,29-May-2019 00:00,391.734,0.0,0.0,1.49772965983122,104.0,2978.0
